'locality','state','postcode','latitude','longitude'
'ALEXANDRA','QLD','4740',-21.16087306,149.09365881
'ALEXANDRA','VIC','3714',-37.19810879,145.73672476
'ALEXANDRA BRIDGE','WA','6288',-34.1650075,115.20035855
'ALEXANDRA HEADLAND','QLD','4572',-26.67079286,153.10363377
'ALEXANDRA HILLS','QLD','4161',-27.53246652,153.22889915
'ALEXANDRIA','NSW','2015',-33.90986437,151.19281719
'ALFORD','SA','5555',-33.81558,137.82207
'ALFORDS POINT','NSW','2234',-33.98574194,151.02516404
'ALFRED COVE','WA','6154',-32.03284999,115.81703209
'ALFREDTON','VIC','3350',-37.55591361,143.80063056
'ALFREDTOWN','NSW','2650',-35.15324534,147.54119961
'ALGESTER','QLD','4115',-27.61274483,153.03254803
'ALI CURUNG','NT','0872',-21.01986813,134.32484828
'ALICE','NSW','2469',-29.05366248,152.58927901
'ALICE CREEK','QLD','4610',-26.75926588,151.62343604
'ALICE RIVER','QLD','4817',-19.34555897,146.62022462
'ALICE SPRINGS','NT','0870',-23.69804212,133.88074718
'ALISON','NSW','2259',-33.26635737,151.39967592
'ALISON','NSW','2420',-32.42855466,151.77252019
'ALKIMOS','WA','6038',-31.61460259,115.68334297
'ALLAMBEE','VIC','3823',-38.29636972,146.02351257
'ALLAMBEE RESERVE','VIC','3871',-38.30667807,146.05521355
'ALLAMBEE SOUTH','VIC','3871',-38.35109329,146.1006698
'ALLAMBIE HEIGHTS','NSW','2100',-33.76958686,151.24883359
'ALLAN','QLD','4370',-28.19567717,151.95146097
'ALLANDALE','NSW','2320',-32.72675896,151.41384423
'ALLANDALE','QLD','4310',-28.00837163,152.75910111
'ALLANDALE STATION','SA','5723',-27.67615307,135.60605288
'ALLANOOKA','WA','6525',-29.05798352,115.09972729
'ALLANS FLAT','VIC','3691',-36.29603339,146.93677712
'ALLANSFORD','VIC','3277',-38.39353286,142.61176898
'ALLANSON','WA','6225',-33.32575056,116.08779619
'ALLAWAH','NSW','2218',-33.97266983,151.11431427
'ALLEENA','NSW','2671',-34.09399588,147.13347773
'ALLENBY GARDENS','SA','5009',-34.90162892,138.5543742
'ALLENDALE','VIC','3364',-37.36206343,143.91513595
'ALLENDALE EAST','SA','5291',-38.00316701,140.70495016
'ALLENDALE NORTH','SA','5373',-34.27531519,138.91168984
'ALLENS RIVULET','TAS','7150',-43.01509028,147.20141618
'ALLENSTOWN','QLD','4700',-23.39400884,150.50389092
'ALLENVIEW','QLD','4285',-27.91388752,152.91514073
'ALLESTREE','VIC','3305',-38.27135834,141.65149902
'ALLGOMERA','NSW','2441',-30.81815515,152.79550796
'ALLIGATOR CREEK','QLD','4740',-21.32010939,149.21847845
'ALLIGATOR CREEK','QLD','4816',-19.41052085,146.93220505
'ALLORA','QLD','4362',-28.01734134,151.97846663
'ALLOWAY','QLD','4670',-24.95685411,152.35983771
'ALLWORTH','NSW','2425',-32.54161746,151.9450969
'ALLYNBROOK','NSW','2311',-32.35154042,151.5484939
'ALMA','SA','5401',-34.25800871,138.64476585
'ALMA','VIC','3465',-37.02207,143.67809517
'ALMA','WA','6535',-28.25244315,114.62236201
'ALMA PARK','NSW','2659',-35.60101215,146.80079214
'ALMADEN','QLD','4871',-17.39133607,144.67263806
'ALMONDS','VIC','3727',-36.22496837,146.06069689
'ALMURTA','VIC','3979',-38.45902458,145.58386456
'ALONNAH','TAS','7150',-43.31280867,147.26556519
'ALOOMBA','QLD','4871',-17.13558001,145.87109083
'ALPANA','SA','5730',-31.11212771,138.55019737
'ALPHA','QLD','4724',-23.63835477,146.63079465
'ALPHINGTON','VIC','3078',-37.78043264,145.03082149
'ALPINE','NSW','2575',-34.40854197,150.53728749
'ALPURRURULAM','NT','4825',-20.98174414,137.83736056
'ALSACE','QLD','4702',-23.28659391,149.2976965
'ALSTONVALE','NSW','2477',-28.79374471,153.44406801
'ALSTONVILLE','NSW','2477',-28.84087397,153.44948026
'ALTON DOWNS','QLD','4702',-23.32026214,150.36757305
'ALTON DOWNS STATION','SA','5733',-26.31996766,138.97186189
'ALTONA','SA','5351',-34.60175116,138.91738434
'ALTONA','VIC','3018',-37.86018132,144.81379026
'ALTONA MEADOWS','VIC','3028',-37.8808374,144.78426389
'ALTONA NORTH','VIC','3025',-37.83784353,144.83431385
'ALUMY CREEK','NSW','2460',-29.64412548,152.9563587
'ALVA','QLD','4807',-19.45099413,147.43956838
'ALVIE','VIC','3249',-38.23656996,143.49416395
'ALYANGULA','NT','0885',-13.85078582,136.42006592
'AMAMOOR','QLD','4570',-26.3469162,152.67547383
'AMAMOOR CREEK','QLD','4570',-26.37709208,152.5216376
'AMAROO','ACT','2914',-35.16958541,149.12802291
'AMAROO','NSW','2866',-33.16432304,148.9208424
'AMAROO','QLD','4829',-23.26861935,139.33702466
'AMATA','SA','0872',-26.1276655,131.17388892
'AMBANIA','WA','6632',-28.68641316,115.1429108
'AMBARVALE','NSW','2560',-34.08927451,150.79718475
'AMBER','QLD','4871',-17.72029057,144.23855417
'AMBERGATE','WA','6280',-33.71196353,115.31800727
'AMBERLEY','QLD','4306',-27.63208606,152.69589496
'AMBLESIDE','TAS','7310',-41.20306842,146.37221322
'AMBROSE','QLD','4695',-23.81306817,150.89203405
'AMBY','QLD','4462',-26.53791883,148.18246039
'AMELUP','WA','6338',-34.25723785,118.27283644
'AMERICAN BEACH','SA','5222',-35.76893169,137.88078929
'AMERICAN RIVER','SA','5221',-35.779224,137.76884569
'AMHERST','VIC','3371',-37.13620298,143.65302172
'AMIENS','QLD','4380',-28.60158075,151.81263485
'AMITY','QLD','4183',-27.39951341,153.45082757
'AMOONGUNA','NT','0873',-23.76846783,133.93065325
'AMOR','VIC','3825',-37.9402645,146.40368361
'AMOSFIELD','NSW','4380',-28.65836425,152.05797629
'AMPHITHEATRE','VIC','3468',-37.18796923,143.41481613
'AMPILATWATJA','NT','0872',-21.66430227,135.246921
'AMYTON','SA','5431',-32.60943552,138.3291886
'ANABRANCH NORTH','NSW','2648',-33.29626424,141.8019071
'ANABRANCH SOUTH','NSW','2648',-33.71566429,141.69012864
'ANAKIE','VIC','3213',-37.93562069,144.28560103
'ANAMA','SA','5464',-33.68676015,138.56545361
'ANAMBAH','NSW','2320',-32.67920035,151.49504478
'ANANGU PITJANTJATJARA YANKUNYTJATJARA','SA','5724',-27.08218291,131.20438479
'ANATYE','NT','0872',-22.99289292,136.95451224
'ANCONA','VIC','3715',-36.96193217,145.80935273
'ANDAMOOKA','SA','5722',-30.44706,137.16644
'ANDAMOOKA STATION','SA','5722',-30.58924056,137.16870056
'ANDERGROVE','QLD','4740',-21.09515481,149.18589755
'ANDERLEIGH','QLD','4570',-26.01603037,152.67858103
'ANDERSON','VIC','3995',-38.52173755,145.44929518
'ANDO','NSW','2631',-36.73339577,149.29424564
'ANDOVER','TAS','7120',-42.34005585,147.49635812
'ANDREWS','SA','5454',-33.61768116,138.63993099
'ANDREWS FARM','SA','5114',-34.67495618,138.65950177
'ANDROMACHE','QLD','4800',-20.59215997,148.41415296
'ANDURAMBA','QLD','4355',-27.07349295,152.11820538
'ANEMBO','NSW','2621',-35.7752883,149.44795927
'ANGAS PLAINS','SA','5255',-35.33491379,138.96954157
'ANGAS VALLEY','SA','5238',-34.75633365,139.29416894
'ANGASTON','SA','5353',-34.52983977,139.06224781
'ANGEPENA','SA','5732',-30.65815398,138.85584891
'ANGLE PARK','SA','5010',-34.85595988,138.56061175
'ANGLE VALE','SA','5117',-34.63858871,138.64975899
'ANGLEDALE','NSW','2550',-36.63489086,149.87427369
'ANGLEDOOL','NSW','2834',-29.12145647,147.92887848
'ANGLERS REACH','NSW','2629',-36.01118727,148.67484046
'ANGLERS REST','VIC','3898',-37.01633342,147.46747094
'ANGLESEA','VIC','3230',-38.38082909,144.15435169
'ANGORIGINA','SA','5730',-31.10304331,138.80925768
'ANGOURIE','NSW','2464',-29.4730154,153.3561428
'ANKETELL','WA','6167',-32.21859934,115.86552295
'ANMATJERE','NT','0872',-22.04094668,133.24375849
'ANNA BAY','NSW','2316',-32.76664274,152.07581885
'ANNA CREEK','SA','5723',-28.7529363,136.20419364
'ANNADALE','SA','5356',-34.39697331,139.37208656
'ANNANDALE','NSW','2038',-33.88073477,151.17139565
'ANNANDALE','QLD','4814',-19.31113802,146.78757414
'ANNANGROVE','NSW','2156',-33.65750164,150.9475143
'ANNERLEY','QLD','4103',-27.51244787,153.03234501
'ANNIEBROOK','WA','6280',-33.66938803,115.16923649
'ANNUELLO','VIC','3549',-34.86599394,142.82665917
'ANSONS BAY','TAS','7264',-41.08239004,148.18877961
'ANSTEAD','QLD','4070',-27.53781895,152.86161306
'ANTECHAMBER BAY','SA','5222',-35.7891033,138.06069996
'ANTHONY','QLD','4310',-27.88104037,152.69008309
'ANTIGUA','QLD','4650',-25.63401856,152.59100006
'ANTILL PONDS','TAS','7120',-42.21971098,147.40365189
'ANTWERP','VIC','3414',-36.26748285,141.97094533
'ANULA','NT','0812',-12.39124879,130.89046988
'APAMURRA','SA','5237',-34.86088976,139.20518752
'APOINGA','SA','5413',-33.91419562,138.93546166
'APOLLO BAY','TAS','7150',-43.16469322,147.29034185
'APOLLO BAY','VIC','3233',-38.72780129,143.64145522
'APPILA','SA','5480',-33.05116653,138.42883202
'APPIN','NSW','2560',-34.2086644,150.80898466
'APPIN','VIC','3579',-35.87960198,143.86843483
'APPIN SOUTH','VIC','3579',-35.93070204,143.86428756
'APPLE TREE CREEK','QLD','4660',-25.23230317,152.22173363
'APPLE TREE FLAT','NSW','2850',-32.68034628,149.70647389
'APPLEBY','NSW','2340',-30.9627028,150.82280122
'APPLECROSS','WA','6153',-32.01371129,115.8366583
'APPLETHORPE','QLD','4378',-28.61545065,151.93299614
'APPLETREE FLAT','NSW','2330',-32.51312873,150.853827
'APSLAWN','TAS','7190',-41.96714474,148.17564376
'APSLEY','NSW','2820',-32.61328396,148.95854135
'APSLEY','TAS','7030',-42.40958185,147.14282916
'APSLEY','VIC','3319',-36.96672052,141.08411155
'ARABLE','NSW','2630',-36.38237763,148.98212158
'ARAKOON','NSW','2431',-30.92201506,153.06312029
'ARALUEN','NSW','2622',-35.63987601,149.81600308
'ARALUEN','NT','0870',-23.69671009,133.85395693
'ARALUEN','QLD','4570',-26.15810497,152.65963122
'ARAMAC','QLD','4726',-22.98492159,145.22947948
'ARAMARA','QLD','4620',-25.60213378,152.34986278
'ARANA HILLS','QLD','4054',-27.39198276,152.95452746
'ARANBANGA','QLD','4625',-25.81520616,151.65461836
'ARANDA','ACT','2614',-35.25805787,149.08041854
'ARAPILES','VIC','3409',-36.74286442,141.84477903
'ARARAT','VIC','3377',-37.26245353,142.97561005
'ARATULA','NSW','2714',-35.77424947,145.28685644
'ARATULA','QLD','4309',-27.98087697,152.53495918
'ARAWATA','VIC','3951',-38.39272817,145.87783717
'ARBOUIN','QLD','4892',-17.06165907,143.99534778
'ARCADIA','NSW','2159',-33.61077746,151.06696286
'ARCADIA','QLD','4819',-19.14326445,146.86039355
'ARCADIA','VIC','3631',-36.5372797,145.37422869
'ARCADIA SOUTH','VIC','3631',-36.59379735,145.38112437
'ARCADIA VALE','NSW','2283',-33.05983041,151.57690769
'ARCADIA VALLEY','QLD','4702',-25.02951931,148.81415144
'ARCHDALE','VIC','3475',-36.83735669,143.51024519
'ARCHDALE JUNCTION','VIC','3475',-36.88554284,143.51490089
'ARCHER','NT','0830',-12.52139656,130.95807635
'ARCHER RIVER','QLD','4892',-13.34779437,142.52672269
'ARCHERFIELD','QLD','4108',-27.56854129,153.01125184
'ARCHERTON','VIC','3723',-36.86923937,146.20747811
'ARCHIES CREEK','VIC','3995',-38.54800185,145.56685165
'ARCKARINGA','SA','5723',-27.83810446,134.88204312
'ARCOONA','SA','5720',-31.11759868,136.9777792
'ARCTURUS','QLD','4722',-23.98929907,148.33956908
'ARDATH','WA','6419',-32.03819497,118.11324458
'ARDEER','VIC','3022',-37.77621429,144.80152382
'ARDGLEN','NSW','2338',-31.72669058,150.78805553
'ARDING','NSW','2358',-30.57012114,151.52154789
'ARDLETHAN','NSW','2665',-34.3433192,146.85452789
'ARDMONA','VIC','3629',-36.38018583,145.3010403
'ARDROSS','WA','6153',-32.02713085,115.83552194
'ARDROSSAN','SA','5571',-34.42483162,137.91658396
'AREEGRA','VIC','3480',-36.24603291,142.67626156
'AREYONGA','NT','0872',-24.08506302,132.27262297
'ARGALONG','NSW','2720',-35.29424395,148.43683238
'ARGENTON','NSW','2284',-32.93523104,151.63068143
'ARGENTS HILL','NSW','2449',-30.61060233,152.72888827
'ARGOON','NSW','2707',-34.91815381,145.65719054
'ARGOON','QLD','4702',-24.2209061,150.4453163
'ARGYLE','VIC','3523',-36.96748259,144.71698322
'ARGYLE','WA','6239',-33.545785,115.77066622
'ARGYLL','QLD','4721',-23.29048411,147.55627648
'ARIAH PARK','NSW','2665',-34.31072946,147.19712303
'ARKAROOLA','SA','5732',-30.21331253,139.4072553
'ARKAROOLA VILLAGE','SA','5701',-30.311643,139.336226
'ARKELL','NSW','2795',-33.73584186,149.38583556
'ARKSTONE','NSW','2795',-34.040327,149.65745871
'ARMADALE','VIC','3143',-37.85668737,145.02017189
'ARMADALE','WA','6112',-32.15112923,116.00690019
'ARMAGH','SA','5453',-33.82498858,138.57467019
'ARMATREE','NSW','2828',-31.42376672,148.49174557
'ARMIDALE','NSW','2350',-30.50156204,151.66619964
'ARMSTRONG','VIC','3377',-37.21249846,142.88213071
'ARMSTRONG BEACH','QLD','4737',-21.44111565,149.26951623
'ARMSTRONG CREEK','QLD','4520',-27.22803494,152.79477471
'ARMSTRONG CREEK','VIC','3217',-38.23414021,144.37078635
'ARNCLIFFE','NSW','2205',-33.93940041,151.14763688
'ARNDELL PARK','NSW','2148',-33.79050715,150.88307824
'ARNO BAY','SA','5603',-33.90932351,136.56904834
'ARNOLD','NT','0852',-16.07793901,134.37713086
'ARNOLD','VIC','3551',-36.67519011,143.85956853
'ARNOLD WEST','VIC','3551',-36.66916811,143.78528952
'AROONA','QLD','4551',-26.78156323,153.11647098
'ARRAWARRA','NSW','2456',-30.05296786,153.19111954
'ARRAWARRA HEADLAND','NSW','2456',-30.06822952,153.19554271
'ARRIGA','QLD','4880',-17.08560488,145.30652686
'ARRINO','WA','6519',-29.46716656,115.56024078
'ARROWSMITH','WA','6525',-29.55911099,115.10973401
'ARROWSMITH EAST','WA','6519',-29.53267974,115.35161757
'ARTARMON','NSW','2064',-33.81097172,151.18605269
'ARTHUR RIVER','TAS','7330',-41.05396769,144.68444025
'ARTHUR RIVER','WA','6315',-33.35150563,117.01582699
'ARTHURS CREEK','VIC','3099',-37.5650065,145.21010534
'ARTHURS LAKE','TAS','7030',-41.99080115,146.94220109
'ARTHURS SEAT','VIC','3936',-38.36327175,144.95980583
'ARTHURTON','SA','5572',-34.25917,137.75556
'ARTHURVILLE','NSW','2820',-32.55594565,148.7379102
'ARUMBERA','NT','0873',-23.78526411,133.81395997
'ARUMPO','NSW','2715',-33.54184795,143.10020174
'ARUNDEL','QLD','4214',-27.93870821,153.36207062
'ASCOT','QLD','4007',-27.42974476,153.06517393
'ASCOT','QLD','4360',-27.82551296,151.99694008
'ASCOT','VIC','3364',-37.39647202,143.81306941
'ASCOT','VIC','3551',-36.70844758,144.33456582
'ASCOT','WA','6104',-31.93412561,115.92938901
'ASCOT PARK','SA','5043',-34.98813275,138.56100523
'ASCOT VALE','VIC','3032',-37.77697796,144.91369287
'ASHBOURNE','SA','5157',-35.30001094,138.76360444
'ASHBOURNE','VIC','3442',-37.40396845,144.45792775
'ASHBURTON','VIC','3147',-37.8672986,145.08018248
'ASHBURY','NSW','2193',-33.90028608,151.11881623
'ASHBY','NSW','2463',-29.44214673,153.18376588
'ASHBY','WA','6065',-31.73256335,115.79767239
'ASHBY HEIGHTS','NSW','2463',-29.39583033,153.17463966
'ASHBY ISLAND','NSW','2463',-29.42424591,153.20360615
'ASHCROFT','NSW','2168',-33.91602786,150.89987908
'ASHENDON','WA','6111',-32.21185152,116.1877666
'ASHFIELD','NSW','2131',-33.88872767,151.12617209
'ASHFIELD','QLD','4670',-24.8727169,152.39616715
'ASHFIELD','WA','6054',-31.91735772,115.93807491
'ASHFORD','NSW','2361',-29.31124489,151.16778493
'ASHFORD','SA','5035',-34.94866938,138.57435869
'ASHGROVE','QLD','4060',-27.44310922,152.98398552
'ASHLEY','NSW','2400',-29.25012679,149.79761468
'ASHMONT','NSW','2650',-35.12471093,147.33171462
'ASHMORE','QLD','4214',-27.98877137,153.37640653
'ASHTON','SA','5137',-34.94115628,138.73613441
'ASHTONFIELD','NSW','2323',-32.77998199,151.5991304
'ASHVILLE','SA','5259',-35.54554998,139.42388346
'ASHWELL','QLD','4340',-27.62537952,152.55652357
'ASHWOOD','VIC','3147',-37.86654332,145.10231507
'ASPENDALE','VIC','3195',-38.02194854,145.10254779
'ASPENDALE GARDENS','VIC','3195',-38.02210924,145.11982512
'ASPLEY','QLD','4034',-27.36666137,153.01794559
'ASQUITH','NSW','2077',-33.6871523,151.11633612
'ATHELSTONE','SA','5076',-34.8714808,138.70543652
'ATHERTON','QLD','4883',-17.26608026,145.48585988
'ATHLONE','VIC','3818',-38.24149821,145.78649092
'ATHOL','QLD','4350',-27.6134206,151.77087857
'ATHOL PARK','SA','5012',-34.85607566,138.54282457
'ATHOLWOOD','NSW','2361',-29.0677764,151.04708263
'ATITJERE','NT','0872',-22.9820576,134.93255599
'ATKINSONS DAM','QLD','4311',-27.42134761,152.43387801
'ATTADALE','WA','6156',-32.02534586,115.80234529
'ATTUNGA','NSW','2345',-30.91126571,150.81744285
'ATTWOOD','VIC','3049',-37.66705219,144.8845874
'ATWELL','WA','6164',-32.14347078,115.86518359
'AUBIGNY','QLD','4401',-27.50892384,151.66508495
'AUBIN GROVE','WA','6164',-32.16699838,115.86268357
'AUBREY','VIC','3393',-36.22623037,142.21811882
'AUBURN','NSW','2144',-33.85467657,151.02620904
'AUBURN','QLD','4413',-25.99994674,150.50819601
'AUBURN','SA','5451',-34.02924458,138.67855523
'AUBURN VALE','NSW','2360',-29.83486569,151.04018854
'AUCHENFLOWER','QLD','4066',-27.47392844,152.99519671
'AUCHMORE','VIC','3570',-36.46868614,144.09607724
'AUGATHELLA','QLD','4477',-25.80452244,146.57990285
'AUGUSTA','WA','6290',-34.30362213,115.14256294
'AUGUSTINE HEIGHTS','QLD','4300',-27.66140977,152.88042345
'AULDANA','SA','5072',-34.91801228,138.68689085
'AURUKUN','QLD','4892',-13.61020531,141.82891422
'AUSTINMER','NSW','2515',-34.30175505,150.92925364
'AUSTINS FERRY','TAS','7011',-42.77501567,147.24883378
'AUSTINVILLE','QLD','4213',-28.15678769,153.31048405
'AUSTRAL','NSW','2179',-33.92683509,150.80831087
'AUSTRAL EDEN','NSW','2440',-31.02558318,152.91962762
'AUSTRALIA PLAINS','SA','5374',-34.0864231,139.17034695
'AUSTRALIND','WA','6233',-33.28295368,115.72298786
'AVALON','VIC','3212',-38.05196445,144.45169635
'AVALON BEACH','NSW','2107',-33.62951995,151.32725816
'AVELEY','WA','6069',-31.78156822,115.98924792
'AVENEL','VIC','3664',-36.92484363,145.28240596
'AVENELL HEIGHTS','QLD','4670',-24.8896052,152.36773374
'AVENUE RANGE','SA','5273',-36.9430897,140.17840693
'AVISFORD','NSW','2850',-32.74843316,149.48077855
'AVOCA','NSW','2577',-34.59602632,150.46870887
'AVOCA','QLD','4670',-24.88122255,152.30613126
'AVOCA','TAS','7213',-41.79374109,147.70688771
'AVOCA','VIC','3467',-37.08199271,143.47010931
'AVOCA BEACH','NSW','2251',-33.47114358,151.42722303
'AVOCA DELL','SA','5253',-35.09104776,139.31174239
'AVOCA VALE','QLD','4314',-26.69659608,152.24913477
'AVON','NSW','2574',-34.42541112,150.66856829
'AVON','SA','5501',-34.2820045,138.34085242
'AVON PLAINS','VIC','3477',-36.5437364,142.92796119
'AVON VALLEY NATIONAL PARK','WA','6084',-31.63605852,116.18873173
'AVONDALE','NSW','2530',-34.52395962,150.74482998
'AVONDALE','QLD','4670',-24.76786847,152.14975266
'AVONDALE HEIGHTS','VIC','3034',-37.76155137,144.8626053
'AVONMORE','VIC','3559',-36.53702751,144.53614776
'AVONSIDE','NSW','2628',-36.39804859,148.72038619
'AVONSLEIGH','VIC','3782',-37.91186149,145.4843258
'AWABA','NSW','2283',-33.0224229,151.54246348
'AXE CREEK','VIC','3551',-36.86058346,144.38909964
'AXEDALE','VIC','3551',-36.76592096,144.52404711
'AYERS RANGE SOUTH','SA','0872',-26.19053346,133.26801598
'AYLMERTON','NSW','2575',-34.42186415,150.49838667
'AYR','QLD','4807',-19.56851915,147.4065786
'AYRFORD','VIC','3268',-38.4375438,142.85235859
'BAAN BAA','NSW','2390',-30.5723463,149.92905445
'BAANDEE','WA','6412',-31.52646618,117.97425365
'BABAKIN','WA','6428',-32.14290638,118.04152827
'BABBAGE ISLAND','WA','6701',-24.88247609,113.63620232
'BABINDA','NSW','2825',-31.92714139,146.50795911
'BABINDA','QLD','4861',-17.34071464,145.92728491
'BABYL CREEK','NSW','2470',-28.72398353,152.79309648
'BACCHUS MARSH','VIC','3340',-37.67641404,144.44630953
'BACK CREEK','NSW','2372',-28.96166243,151.72887323
'BACK CREEK','NSW','2390',-30.11225623,150.27559453
'BACK CREEK','NSW','2422',-31.96168646,152.0531593
'BACK CREEK','NSW','2484',-28.40934313,153.17016511
